ma_san_pham,hinh_anh,hinh_anh_2
422216296,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422216296-1699946371_img_380x380_64adc6_fit_center.jpg
249500012,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500012-1728890168_img_380x380_64adc6_fit_center.jpg
422222326,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-ngua-lao-hoa-35g_4kqR4vy11WYnT4HV_img_380x380_64adc6_fit_center.png
422212097,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212097-1698739483_img_380x380_64adc6_fit_center.jpg
422207959,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-cell-fusion-c-giup-lam-diu-ton-thuong-50ml-1657782407_img_380x380_64adc6_fit_center.jpg
248700027,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-248700027-1729050426_img_380x380_64adc6_fit_center.jpg
422206921,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-fixderma-cho-da-nhon-mun-nhay-cam-75g_6fX7JMiKuYx5PaGz_img_380x380_64adc6_fit_center.png
422208345,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208345-1695095179_img_380x380_64adc6_fit_center.png
422200376,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-bioderma-giam-bong-nhon-40ml-khong-mau-1729221225_img_380x380_64adc6_fit_center.jpg
249500004,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500004-1698805987_img_380x380_64adc6_fit_center.jpg
201600198,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-vichy-kiem-dau-spf50-50ml_WyjoaWGDva346mrg_img_380x380_64adc6_fit_center.png
204900080,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-3ml-mini_3UQTnHfPyt521WwK_img_380x380_64adc6_fit_center.png
422206141,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206141-1705051028_img_380x380_64adc6_fit_center.jpg
422219589,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-embryolisse-chong-uv-pho-rong-100ml_gVpEWvFmBdpZTfBW_img_380x380_64adc6_fit_center.png
422216990,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422216990-1702003878_img_380x380_64adc6_fit_center.png
422219811,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-bo-vichy-ho-tro-mo-nam-giam-tham-duong-sang-da-3-mon_txVhsBY8fxTeo9cs_img_380x380_64adc6_fit_center.png
422211119,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-eucerin-nang-tong-duong-sang-da-30ml_QeHJYAqd8Bto3d9j_img_380x380_64adc6_fit_center.png
422219223,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-a-derma-mong-nhe-cho-da-nhay-cam-40ml-1711167377_img_380x380_64adc6_fit_center.jpg
422206144,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206144-1705051494_img_380x380_64adc6_fit_center.jpg
201600157,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-vichy-kem-chong-nang-khong-nhon-rit-giam-tham-nam-mau-da-50ml-gel-rua-mat-cho-da-nhon-mun-50ml_kx8GGf9a9D86X85n_img_380x380_64adc6_fit_center.png
422223884,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-mini-sua-chong-nang-la-roche-posay-cho-da-dau-mun-15ml_Py3uPtM6NSoLFu7a_img_380x380_64adc6_fit_center.png
201600068,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-bo-doi-vichy-chong-nang-ngua-tham-nam-xit-khoang-50ml-kem-chong-nang-mau-da-50ml_xCRxSAKBaEQapf6b_img_380x380_64adc6_fit_center.png
200400041,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-200400041-1692773603_img_380x380_64adc6_fit_center.png
